id_decil_renta,id_regimen_tenencia_decil_renta,Anyo,Valor
1,1,2024,10.0
1,1,2023,10.0
1,1,2022,10.0
1,1,2021,10.0
1,1,2020,10.0
1,1,2019,10.0
1,1,2018,10.0
1,1,2017,10.0
1,1,2016,10.0
1,1,2015,10.0
1,1,2014,10.0
1,1,2013,10.0
1,1,2012,10.0
1,1,2011,10.0
1,1,2010,10.0
1,1,2009,10.0
1,1,2008,10.0
2,1,2024,10.0
2,1,2023,10.0
2,1,2022,10.0
2,1,2021,10.0
2,1,2020,10.0
2,1,2019,10.0
2,1,2018,10.0
2,1,2017,10.0
2,1,2016,10.0
2,1,2015,10.0
2,1,2014,10.0
2,1,2013,10.0
2,1,2012,10.0
2,1,2011,10.0
2,1,2010,10.0
2,1,2009,10.0
2,1,2008,10.0
3,1,2024,10.0
3,1,2023,10.0
3,1,2022,10.0
3,1,2021,10.0
3,1,2020,10.0
3,1,2019,10.0
3,1,2018,10.0
3,1,2017,10.0
3,1,2016,10.0
3,1,2015,10.0
3,1,2014,10.0
3,1,2013,10.0
3,1,2012,10.0
3,1,2011,10.0
3,1,2010,10.0
3,1,2009,10.0
3,1,2008,10.0
4,1,2024,10.0
4,1,2023,10.0
4,1,2022,10.0
4,1,2021,10.0
4,1,2020,10.0
4,1,2019,10.0
4,1,2018,10.0
4,1,2017,10.0
4,1,2016,10.0
4,1,2015,10.0
4,1,2014,10.0
4,1,2013,10.0
4,1,2012,10.0
4,1,2011,10.0
4,1,2010,10.0
4,1,2009,10.0
4,1,2008,10.0
5,1,2024,10.0
5,1,2023,10.0
5,1,2022,10.0
5,1,2021,10.0
5,1,2020,10.0
5,1,2019,10.0
5,1,2018,10.0
5,1,2017,10.0
5,1,2016,10.0
5,1,2015,10.0
5,1,2014,10.0
5,1,2013,10.0
5,1,2012,10.0
5,1,2011,10.0
5,1,2010,10.0
5,1,2009,10.0
5,1,2008,10.0
6,1,2024,10.0
6,1,2023,10.0
6,1,2022,10.0
6,1,2021,10.0
6,1,2020,10.0
6,1,2019,10.0
6,1,2018,10.0
6,1,2017,10.0
6,1,2016,10.0
6,1,2015,10.0
6,1,2014,10.0
6,1,2013,10.0
6,1,2012,10.0
6,1,2011,10.0
6,1,2010,10.0
6,1,2009,10.0
6,1,2008,10.0
7,1,2024,10.0
7,1,2023,10.0
7,1,2022,10.0
7,1,2021,10.0
7,1,2020,10.0
7,1,2019,10.0
7,1,2018,10.0
7,1,2017,10.0
7,1,2016,10.0
7,1,2015,10.0
7,1,2014,10.0
7,1,2013,10.0
7,1,2012,10.0
