id_tipo_carencia_material,id_regimen_tenencia_carencia_material,Anyo,Valor
1,1,2024,33.4
1,1,2023,33.1
1,1,2022,33.5
1,1,2021,32.7
1,1,2020,34.4
1,1,2019,33.4
1,1,2018,34.1
1,1,2017,34.3
1,1,2016,40.3
1,1,2015,41.5
1,1,2014,46.4
1,1,2013,48.0
1,1,2012,46.6
1,1,2011,40.9
1,1,2010,42.7
1,1,2009,42.0
1,1,2008,36.2
2,1,2024,6.1
2,1,2023,6.4
2,1,2022,5.4
2,1,2021,4.7
2,1,2020,5.4
2,1,2019,3.8
2,1,2018,3.6
2,1,2017,3.7
2,1,2016,2.9
2,1,2015,2.6
2,1,2014,3.3
2,1,2013,3.5
2,1,2012,2.6
2,1,2011,3.2
2,1,2010,2.6
2,1,2009,2.1
2,1,2008,2.2
3,1,2024,17.6
3,1,2023,20.7
3,1,2022,17.1
3,1,2021,14.3
3,1,2020,10.9
3,1,2019,7.6
3,1,2018,9.1
3,1,2017,8.0
3,1,2016,10.1
3,1,2015,10.6
3,1,2014,11.1
3,1,2013,8.0
3,1,2012,9.1
3,1,2011,6.5
3,1,2010,7.5
3,1,2009,7.2
3,1,2008,5.9
4,1,2024,35.8
4,1,2023,37.1
4,1,2022,35.5
4,1,2021,33.4
4,1,2020,35.4
4,1,2019,33.9
4,1,2018,35.9
4,1,2017,36.6
4,1,2016,38.7
4,1,2015,39.8
4,1,2014,42.6
4,1,2013,42.1
4,1,2012,42.1
4,1,2011,37.6
4,1,2010,38.7
4,1,2009,36.5
4,1,2008,29.9
5,1,2024,12.0
5,1,2023,11.7
5,1,2022,11.6
5,1,2021,12.6
5,1,2020,12.2
5,1,2019,7.8
5,1,2018,8.8
5,1,2017,8.8
5,1,2016,9.8
5,1,2015,11.0
5,1,2014,11.7
5,1,2013,11.0
5,1,2012,9.9
5,1,2011,7.9
5,1,2010,10.4
5,1,2009,9.6
5,1,2008,7.1
6,1,2024,14.2
6,1,2023,13.6
6,1,2022,13.2
6,1,2021,14.4
6,1,2020,13.5
6,1,2019,8.3
6,1,2018,9.4
6,1,2017,9.3
6,1,2016,10.6
6,1,2015,11.7
6,1,2014,12.5
6,1,2013,11.9
6,1,2012,10.9
6,1,2011,8.7
6,1,2010,11.7
6,1,2009,11.0
6,1,2008,8.2
7,1,2024,5.3
7,1,2023,5.2
7,1,2022,5.0
7,1,2021,4.9
7,1,2020,4.9
7,1,2019,4.7
7,1,2018,5.1
7,1,2017,4.7
7,1,2016,6.0
7,1,2015,5.8
7,1,2014,6.0
7,1,2013,6.2
7,1,2012,5.7
7,1,2011,5.6
7,1,2010,5.9
7,1,2009,5.7
7,1,2008,5.9
8,1,2024,6.3
8,1,2023,6.1
